address,poolname
a08091ab0325e384ac45e560d2f85e4b741363aa98881d52d54233a02b33fcaa,Luxor
a0a1e55cbbffc99d9dcaf56e5350847267471cd6d69d4dead14953e5e82d97bf,AionPool.org
a0f2daa8de60d0e911fb468492242d604e1e11ec6f142bfee15757408aff2902,Centrys
a05801fb2de5b76568a9c13f86766ebe3e6c438272e9fc6f5fabfcbea93048bf,GloryPool
a07981da70ce919e1db5f051c3c386eb526e6ce8b9e2bfd56e3f3d754b0a17f3,F2Pool
a01e968221584946dac1e6842bf985de7ff49c8b9913220ed793d64a150b2864,HashpowerPool
a00983f07c11ee9160a64dd3ba3dc3d1f88332a2869f25725f56cbd0be32ef7a,AionPool.Tech
a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,GetMyMiner
a099688bb19051b38c846580600812d095f89cfff7abc17ab6c4af63e408f2f1,WhibbitPool
a022a68ef27e5febe4570edb2ce5586974cb326f24fce2ebb23012c07dac90e0,BlockwareSolutions
0xa09b74d1356d934dc3b7d0a3a75a35c7c47757a01a8c8c26da1e85959a3b435b,x100orgtfo.science
0xa0ee4787d26673d249b4faad9af12c2be8aa69ddb8754f5acfe73d6c3c5fad1b,pon.cash
0xa0afea235b391cc31bf4a26d6bb5513639c718941a47418bd6d4cf4f957e84f9,Saina Pool
